id,titulo,data_inicio,data_fim,status,principal_responsavel,tipo_responsavel,resumo,link_acesso,uf,cidade,abrangencia,palavras_chave,fonte,ultima_atualizacao,latitude,longitude
ms-001,Mumbuca,2013-12-01,,ativa,Prefeitura de Maricá,prefeitura,"Programa municipal de moeda social voltado à transferência de renda, fortalecimento do comércio local e inclusão financeira.",https://www.marica.rj.gov.br/,RJ,Maricá,municipal,renda básica; transferência de renda; comércio local; banco comunitário,Cadastro sintético para protótipo,2026-06-14,-22.9195,-42.8186
ms-002,Arariboia,2021-12-01,,ativa,Prefeitura de Niterói,prefeitura,Moeda social municipal utilizada em políticas de transferência de renda e dinamização da economia nos territórios populares.,https://www.niteroi.rj.gov.br/,RJ,Niterói,municipal,renda básica; vulnerabilidade social; cartão; economia local,Cadastro sintético para protótipo,2026-06-14,-22.8832,-43.1034
ms-003,Palmas,2002-01-01,,ativa,Banco Palmas,banco comunitário,Experiência pioneira de banco comunitário e moeda social orientada ao desenvolvimento territorial e ao crédito produtivo local.,https://www.institutobancopalmas.org/,CE,Fortaleza,comunitária,banco comunitário; crédito produtivo; economia solidária; desenvolvimento local,Cadastro sintético para protótipo,2026-06-14,-3.7996,-38.5222
ms-004,Caucaia Solidária,2024-03-01,,proposta,Prefeitura de Caucaia,prefeitura,"Proposta de moeda social municipal para articular auxílio alimentar, compras locais e cadastro único territorializado.",https://www.caucaia.ce.gov.br/,CE,Caucaia,municipal,alimentação; cadastro social; comércio local; proposta,Cadastro sintético para protótipo,2026-06-14,-3.7361,-38.6531
ms-005,Cocal,2022-06-01,,ativa,Prefeitura de Saquarema,prefeitura,"Moeda social vinculada a benefício local, com foco em famílias de baixa renda e circulação do recurso no município.",https://www.saquarema.rj.gov.br/,RJ,Saquarema,municipal,transferência de renda; famílias vulneráveis; cartão; comércio local,Cadastro sintético para protótipo,2026-06-14,-22.9292,-42.5089
ms-006,Itajuru,2023-01-01,,ativa,Prefeitura de Cabo Frio,prefeitura,"Política municipal de moeda social para apoio à renda, consumo em estabelecimentos credenciados e desenvolvimento territorial.",https://cabofrio.rj.gov.br/,RJ,Cabo Frio,municipal,renda; estabelecimentos credenciados; território; cartão,Cadastro sintético para protótipo,2026-06-14,-22.8798,-42.0189
ms-007,Pedra Bonita,2023-08-01,,ativa,Prefeitura de Itaboraí,prefeitura,Moeda social municipal voltada ao combate à pobreza e ao fortalecimento de pequenos negócios nos bairros atendidos.,https://itaborai.rj.gov.br/,RJ,Itaboraí,municipal,pobreza; pequenos negócios; bairro; transferência de renda,Cadastro sintético para protótipo,2026-06-14,-22.7448,-42.8599
ms-008,Moeda Verde,2017-05-01,,ativa,Prefeitura de Vila Velha,prefeitura,"Iniciativa que troca resíduos recicláveis por créditos para aquisição de alimentos, conectando sustentabilidade e segurança alimentar.",https://www.vilavelha.es.gov.br/,ES,Vila Velha,municipal,reciclagem; segurança alimentar; sustentabilidade; alimentos,Cadastro sintético para protótipo,2026-06-14,-20.3478,-40.2949
ms-009,Sampa Solidária,2025-02-01,,proposta,Secretaria Municipal de Desenvolvimento Econômico,prefeitura,Proposta sintética de moeda social digital para compras em comércios de periferia e acompanhamento de impacto territorial.,https://www.capital.sp.gov.br/,SP,São Paulo,municipal,digitalização; periferia; impacto territorial; comércio local,Cadastro sintético para protótipo,2026-06-14,-23.5505,-46.6333
ms-010,Floripa Local,2020-09-01,2022-12-31,encerrada,Rede de Economia Solidária de Florianópolis,associação,"Projeto comunitário de circulação local com feiras, produtores familiares e créditos de consumo em rede solidária.",https://www.pmf.sc.gov.br/,SC,Florianópolis,comunitária,feiras; produtores familiares; economia solidária; consumo local,Cadastro sintético para protótipo,2026-06-14,-27.5949,-48.5482
ms-011,Guaicuru,2019-04-01,,ativa,Banco Comunitário Pantanal,banco comunitário,"Iniciativa comunitária sintética voltada a microcrédito, consumo local e apoio a empreendimentos populares.",https://www.campogrande.ms.gov.br/,MS,Campo Grande,comunitária,microcrédito; empreendimentos populares; banco comunitário; consumo local,Cadastro sintético para protótipo,2026-06-14,-20.4697,-54.6201
